stage,step,device_id,start_time,end_time,stage_time
prefill,0,1,1748589265.0141659,1748589265.2497644,0.23559856414794922
prefill,0,2,1748589265.228541,1748589265.4575112,0.22897028923034668
prefill,0,0,1748589268.4391663,1748589268.7079437,0.26877737045288086
generation,0,0,1748589268.3322113,1748589305.372939,37.040727853775024
generation,0,1,1748589264.9317973,1748589305.37306,40.44126272201538
generation,0,2,1748589265.1016357,1748589305.3731325,40.27149677276611
training,0,1,1748589305.3732522,1748589305.5771117,0.20385956764221191
training,0,2,1748589305.373371,1748589305.5824578,0.20908689498901367
training,0,0,1748589305.3735235,1748589305.6367915,0.26326799392700195
training,1,1,1748589305.5881472,1748589305.7863533,0.19820618629455566
training,1,2,1748589305.5927494,1748589305.79356,0.20081067085266113
training,1,0,1748589305.6491282,1748589305.8332906,0.18416237831115723
training,2,2,1748589305.802502,1748589305.974433,0.17193102836608887
training,2,1,1748589305.7947285,1748589305.9832742,0.18854570388793945
training,2,0,1748589305.8425286,1748589306.013544,0.17101550102233887
training,3,1,1748589305.991125,1748589306.4564755,0.4653503894805908
training,3,0,1748589306.022987,1748589306.4565663,0.4335794448852539
training,3,2,1748589305.9807124,1748589306.456832,0.4761195182800293
prefill,4,1,1748589306.4731305,1748589306.5082655,0.03513503074645996
prefill,4,0,1748589306.472266,1748589306.5086987,0.036432743072509766
prefill,4,2,1748589306.478456,1748589306.5210571,0.04260110855102539
generation,4,0,1748589306.4647527,1748589343.6911607,37.22640800476074
generation,4,2,1748589306.464664,1748589343.6912866,37.226622581481934
generation,4,1,1748589306.4639838,1748589343.691571,37.22758722305298
training,4,2,1748589343.6915982,1748589343.8327317,0.14113354682922363
training,4,1,1748589343.6919687,1748589343.83733,0.14536142349243164
training,4,0,1748589343.6915243,1748589343.8730106,0.1814863681793213
training,5,2,1748589343.8370385,1748589343.9990873,0.1620488166809082
training,5,0,1748589343.8780425,1748589344.0073802,0.12933778762817383
training,5,1,1748589343.8460047,1748589344.0252724,0.17926764488220215
training,6,2,1748589344.004674,1748589344.1539884,0.14931440353393555
training,6,0,1748589344.0370536,1748589344.1625767,0.12552309036254883
training,6,1,1748589344.0311205,1748589344.1822581,0.1511375904083252
training,7,2,1748589344.1594493,1748589344.5897539,0.43030452728271484
training,7,1,1748589344.1887577,1748589344.5899565,0.4011988639831543
training,7,0,1748589344.191059,1748589344.5900671,0.39900803565979004
prefill,8,1,1748589344.6060662,1748589344.6413665,0.035300254821777344
prefill,8,0,1748589344.610649,1748589344.6452184,0.03456926345825195
prefill,8,2,1748589344.6085734,1748589344.6506126,0.04203915596008301
